"* Required Fields","* Campos obrigatórios"
"Edit Customer Groups","Editar grupos de clientes"
"Edit Customer's Address","Editar endereço de cliente"
"Edit Group","Editar grupo"
"Edit Newsletters","Editar newsletters"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Email Sender","Remetente do e-mail"
"Email:","E-mail:"
"Entity collection is expected.","Coleção de entidade é esperada."
"Failed to confirm customer account.","Falha ao confirmar conta do cliente"
"Fax","2º Telefone"
"First Name","Nome"
"Forgot Email Sender","Esqueceu remetente de e-mail"
"Forgot Email Template","Esqueceu template de e-mail"
"Forgot Your Password?","Esqueceu sua senha?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Neste painel você pode ver um resumo de suas atividades recentes e atualizar suas informações. Clique nos links para ver ou editar suas informações."
"Gender","Gênero"
"General Subscription","Assinatura comum"
"Generate Human-Friendly Customer ID","Gerar ID de cliente Human-Friendly"
"Global","Global"
"Grand Total","Total"
"Group","Grupo"
"Group Information","Informações de grupo"
"Group Name","Nome do grupo"
"Guest","Visitante"
"HTML","HTML"
"Hello, %s!","Olá %s!"
"ID","ID"
"IP Address","Endereço IP"
"If you have an account with us, please log in.","Se você tem uma conta conosco, por favor entre."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção inválida de atributo especificada para o atributo %s (%s), parando registro."
"Invalid attribute set specified, skipping the record.","Grupo inválido de atributos especificado, parando registro."
"Invalid current password","Senha atual inválida"
"Invalid customer data","Dados de cliente inválidos"
"Invalid email address.","Endereço de e-mail inválido."
"Invalid login or password.","Nome de usuário inexistente ou senha inválida."
"Invalid store specified, skipping the record.","Loja especificada inválida, parando registro."
"Last Activity","Última atividade"
"Last Date Subscribed","Última data de assinatura"
"Last Date Unsubscribed","Última data de cancelamento de assinatura"
"Last Name","Sobrenome"
"Last URL","Último URL"
"Leave empty for default (15 minutes).","Deixe vazio para utilizar o padrão (15 minutos)"
"Leave empty for default (2). Valid range: 1-4","Deixe vazio para utilizar o padrão (2). Intervalo válido: 1-4"
"Lifetime Sales","Total de Vendas"
"Log In","Entrar"
"Log Out","Sair"
"Login","Entrar"
"Login Information","Informações de identificação"
"Login Options","Opções de entrada"
"Login and password are required.","Nome de usuário e senha são obrigatórios."
"Login or Create an Account","Entrar ou criar uma conta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gerenciar endereços"
"Manage Customers","Gerenciar clientes"
"Missing email, skipping the record.","Faltando e-mail, parando registro."
"Missing firstname, skipping the record.","Faltando nome, parando registro."
"Missing lastname, skipping the record.","Faltando sobrenome, parando registro."
"Month","Mês"
"My Account","Minha conta"
"My Dashboard","Meu painel"
"My Orders","Meus pedidos"
"Name","Nome"
"Name and Address Options","Opções de nome e endereço"
"Never","Nunca"
"New Address","Novo endereço"
"New Address Entry","Nova entrada de endereço"
"New Customer","Novo cliente"
"New Customer Address","Novo endereço de cliente"
"New Customer Group","Novo grupo de clientes"
"New Customer Groups","Novos grupos de clientes"
"New Customers","Novos clientes"
"New Group","Novo grupo"
"New Password","Nova senha"
"New account","Nova conta"
"New account confirmation key","Chave de confirmação de uma nova conta"
"New account confirmed","Nova conta confirmada"
"New password","Nova senha"
"Newsletter","Newsletter"
"Newsletter Finish","Fim do newsletter"
"Newsletter Information","Informações do newsletter"
"Newsletter Received","Newsletter recebido"
"Newsletter Start","Início do newsletter"
"Newsletter Subscription","Assinatura da newsletter"
"Newsletters","Newsletters"
"No Items Found","Nenhum item foi encontrado"
"No Newsletter Found","Nenhum newsletter encontrado"
"No customer collections found","Nenhuma coleção de cliente foi encontrada"
"No item specified.","Nenhum item especificado."
"Not Sent","Não enviado"
"Not confirmed, can login","Não confirmado, pode entrar"
"Not confirmed, cannot login","Não confirmado, não pode entrar"
"Number of Lines in a Street Address ","Número de linhas em um endereço "
"Offline","Offline"
"Online","Online"
"Online Customers","Clientes online"
"Online Customers Options","Opções do cliente online"
"Online Minutes Interval","Intervalo de minutos online"
"Order #","Pedido número"
"Order Total","Total do pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Senha"
"Password Management","Gerenciador de senha"
"Password Options","Opções de senha"
"Password forgotten","Senha esquecida"
"Password:","Senha:"
"Paused","Parado"
"Pending","Pendente"
"Per Website","Por website"
"Personal Information","Informações pessoais"
"Please enter your email below and we will send you a new password.","Por favor, insira seu e-mail abaixo e enviaremos uma nova senha."
"Please enter your email below and we\'ll send you confirmation link for it.","Por favor, insira seu e-mail abaixo e enviaremos um link de confirmação para isto."
"Please enter your email.","Por favor, insira seu e-mail."
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please select","Por favor, selecione"
"Please select region, state or province","Por favor, selecione o estado"
"Please, check your email for confirmation key.","Por favor, verifique seu e-mail para chave de confirmação."
"Prefix","Prefixo"
"Prefix Dropdown Options","Opções dropdown do prefixo"
"Price","Preço"
"Product","Produto"
"Product ID","ID do produto (Product ID)"
"Product Name","Nome do produto"
"Product Reviews","Opiniões do produto"
"Product Tags","Tags do produto"
"Product name","Nome do produto"
"Purchase On","Comprado em"
"Purchased At","Comprado em"
"Qty","Qtde"
"Recent Orders","Pedidos recentes"
"Records for %s store found.","Registros para a loja %s encontrado."
"Redirect Customer to Account Dashboard after Logging in","Redirecionar cliente para painel da conta depois que entrar"
"Refunded","Reembolsado"
"Registered Customers","Cliente registrado"
"Remove","Remover"
"Require Emails Confirmation","Requerido confirmação por e-mail"
"Retrieve address data","Obter dados do endereço"
"Retrieve address info","Obter informações do endereço"
"Retrieve customer addresses","Obter endereços dos clientes"
"Retrieve customer data","Obter dados dos clientes"
"Retrieve customer groups","Obter grupos do cliente"
"Retrieve customer info","Obter informações dos clientes"
"Retrieve customers","Obter clientes"
"Retrieve your confirmation link here","Obter seu link de confirmação aqui"
"Retrieve your password here","Recuperar sua senha aqui"
"SKU","Código do produto"
"Sales Statistics","Estatísticas de Vendas"
"Save","Salvar"
"Save Address","Salvar endereço"
"Save Customer","Salvar cliente"
"Save Customer Group","Salvar grupo de clientes"
"Save Password","Salvar senha"
"Save and Continue Edit","Salvar e continuar editando"
"Saved %d record(s)","%d registro(s) salvo(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por ponto e vírgula (;). Coloque ponto e vírgula no início para deixar em branco a primeira opção.<br/>Deixe vazio para abrir campo de texto."
"Send From","Enviar de"
"Send Welcome Email","Enviar e-mail de boas-vindas"
"Send Welcome Email after Confirmation","Enviar e-mail de boas-vindas após confirmação"
"Send auto-generated password","Enviar senha gerada automaticamente"
"Send confirmation link","Enviar link de confirmação"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Horário de início da sessão"
"Set as Default Billing Address","Definir como endereço padrão de cobrança"
"Set as Default Shipping Address","Definir como endereço padrão de envio"
"Share Customer Accounts","Compartilhar contas de clientes"
"Shipped to First Name","Enviado para o nome"
"Shipped to Last Name","Enviado para o sobrenome"
"Shipped to Name","Enviado para o nome"
"Shopping Cart","Carrinho de compras"
"Shopping Cart - %d item(s)","Carrinho de compras - %d item(s)"
"Show Date of Birth","Mostrar data de nascimento"
"Show Gender","Mostrar gênero"
"Show Middle Name (initial)","Mostrar nome do meio (inicial)"
"Show Prefix","Mostrar prefixo"
"Show Suffix","Mostrar sufixo"
"Show Tax/VAT Number","Mostrar número do CPF"
"Sign Up for Newsletter","Assinar newsletter"
"Skipping import row, required field ""%s"" is not defined.","Parando importação da linha, campo obrigatório ""%s"" não está definido."
"Skipping import row, website ""%s"" field does not exist.","Parando importação da linha, campo ""%s"" do website não existe."
"State/Province","Estado"
"Status","Status"
"Store","Loja"
"Store View","Visão da loja"
"Street Address","Endereço da rua"
"Street Address ","Endereço da rua "
"Street Address %s","Endereço da rua %s"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe to Newsletter","Assinar newsletter"
"Subscribed to Newsletter?","Já assinou nosso newsletter?"
"Suffix","Sufixo"
"Suffix Dropdown Options","Opções dropdown do sufixo"
"Tag Name","Nome da tag"
"Tax Class","Classe de impostos"
"Tax/VAT number","CPF"
"Telephone","Telefone"
"Text","Texto"
"Text One Line","Uma linha de texto"
"Thank you for registering with %s.","Obrigado por registrar-se com a %s."
"The account information has been saved.","As informações da conta foram salvas."
"The address does not belong to this customer.","O endereço não pertence a este cliente."
"The address has been deleted.","O endereço foi excluído."
"The address has been saved.","O endereço foi salvo."
"The customer does not have default billing address.","O cliente não tem endereço de cobrança padrão."
"The customer group has been deleted.","O grupo de clientes foi excluído."
"The customer group has been saved.","O grupo de clientes foi salvo."
"The group ""%s"" cannot be deleted.","O grupo ""%s"" não pode ser excluído."
"The password fields cannot be empty.","As senhas não podem estar vazias."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","A senha deve ter pelo menos 6 caracteres. Espaços antes ou depois serão ignorados."
"The suffix that goes after name (Jr., Sr., etc.)","Sufixo do nome (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Título do nome (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Não existe itens na lista de desejos do cliente no momento"
"There are no items in customer\'s shopping cart at the moment","Não existe itens no carrinho de compras do cliente no momento"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se você tiver certeza que este é seu endereço de e-mail, <a href=""%s"">clique aqui</a> para recuperar sua senha e acessar sua conta."
"This account is not confirmed.","Esta conta não está confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta conta não está confirmada. <a href=""%s"">Clique aqui</a> para reenviar e-mail de confirmação."
"This customer email already exists.","Este e-mail de cliente já existe."
"This customer has no saved addresses.","Este cliente não tem endereços salvos."
"This email address was not found in our records.","Este endereço de e-mail não foi encontrado nos nossos registros."
"This email does not require confirmation.","Este e-mail não requer confimação."
"This email will be sent instead of default welcome email, after account confirmation.","Este e-mail será enviado após a confirmação da conta, ao invés do e-mail padrão de boas-vindas."
"This is My Default %s Address","Este é meu endereço %s padrão"
"To Cart","Para o carrinho de compras"
"Total","Total"
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from Newsletter","Cancelar assinatura da newsletter"
"Update","Atualizar"
"Update customer address data","Atualizar dados do endereço do cliente"
"Update customer data","Atualizar dados do cliente"
"Use as My Default %s Address","Usar como meu endereço %s padrão"
"Use as My Default Billing Address","Usar como endereço padrão de cobrança"
"Use as My Default Shipping Address","Usar como endereço padrão de envio"
"Use as my default billing address","Usar como endereço padrão de cobrança"
"Use as my default shipping address","Usar como endereço padrão de envio"
"User description","Descrição de usuário"
"View","Visualizar"
"View Order","Visualizar pedido"
"Visible In","Visível em"
"Visitor","Visitante"
"Visitors Only","Apenas visitantes"
"Website","Website"
"Welcome Email","E-mail de boas-vindas"
"Wishlist","Lista de desejos"
"Wishlist - %d item(s)","Lista de desejos - %d item(s)"
"Wrong confirmation key.","Chave de confirmação incorreta."
"Wrong customer account specified.","Conta de usuário incorreta."
"Wrong email.","E-mail incorreto."
"Wrong transactional account email type.","Tipo de e-mail transacional da conta incorreto"
"XML","XML"
"YYYY","AAAA"
"Year","Ano"
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhum newsletter."
"You are currently not subscribed to our newsletter.","Você não está inscrito no nosso newsletter."
"You are currently subscribed to 'General Subscription'.","Você está inscrito na 'assinatura comum'."
"You are currently subscribed to our newsletter.","Você está inscrito no nosso newsletter."
"You are now logged out","Você está desconectado"
"You have logged out and will be redirected to our homepage in 5 seconds.","Você desconectou e será redirecionado para nossa página principal em 5 segundos."
"You have no additional address entries in your address book.","Você não possui entradas de endereços adicionais em sua lista de endereços."
"You have no additional entries in your address book.","Você não possui entradas adicionais em sua lista de endereços."
"You have no default billing address in your address book.","Você não possui um endereço padrão de cobrança em sua lista de endereços."
"You have no default entries in your address book.","Você não possui entradas padrões em sua lista de endereços."
"You have no default shipping address in your address book.","Você não possui um endereço padrão de envio em sua lista de endereços."
"You have not set a default billing address.","Você não definiu um endereço padrão de cobrança."
"You have not set a default shipping address.","Você não definiu um endereço padrão de envio."
"You have placed no orders yet.","Você ainda não fez nenhum pedido."
"You have placed no products yet.","Você ainda não solicitou produtos."
"Your account balance is: %s","O saldo da sua conta é: %s"
"ZIP","CEP"
"ZIP/Post Code","CEP"
"Zip/Postal Code","CEP"
"n/a","n/a"
"or","ou"
"Please enter your email address below. You will receive a link to reset your password.","Por favor preencha seu e-mail abaixo. Você receberá um link para redefinir sua senha."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se existir um conta associada com %s você receberá um e-mail com link para redefinir sua senha."
"Reset a Password","Redefinir senha"
"Your password has been updated.","Sua senha foi atualizada."
"Your password reset link has expired.","Seu link para redefinir senha expirou."
