"%s %s cycle.","%s %s ciclo."
"--Please Select--","--Por favor, selecione--"
"Schedule description must be not empty.","Descrição do agendamento não pode ser vazio."
"Send Check to","Informações da(s) conta(s)"
"Send Check to:","Informações da(s) conta(s):"
"Severe 3D Secure Card Validation","Validação severa de cartão 3D secure"
"Severe validation removes chargeback liability on merchant.","Validação severa remove a responsabilidade de retorno do débido sobre o comerciante."
"Shipping Amount","Valor de envio"
"Short description of the recurring payment. By default equals to the product name.","Descrição curta do pagamento recorrente. Por padrão igual o nome do produto."
"Sort Order","Ordem de seleção"
"Start Date","Data de início"
"Start date has invalid format.","Data de início possui formato inválido."
"Start date is undefined.","Data de início está indefinido."
"Subscriber Name","Nome do assinante"
"Switch/Solo Issue Number","Switch/Solo número de emissão"
"Switch/Solo Only","Switch/Solo somente"
"Switch/Solo Start Date","Switch/Solo data de início"
"Tax Amount","Valor de imposto"
"Test Mode","Modo de teste"
"The date when billing for the profile begins.","A data quando começar cobrança para o perfil."
"The number of billing cycles for payment period.","O número de ciclos de cobrança para o período de pagamento."
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos agendados que podem faltar antes do perfil ser automaticamente suspendido."
"The payment review action is unavailable.","O ação de análise de pagamento está indisponível."
"Title","Título"
"Trial Billing Amount","Quantia de cobrança do TRIAL"
"Trial Billing Frequency","Frequência de cobrança do TRIAL"
"Trial Billing Period Unit","Unidade do período de cobrança do TRIAL"
"Trial Period","Período do TRIAL"
"Trial billing period unit is wrong.","Unidade do período de cobrança do TRIAL está incorreto."
"Two Weeks","Duas semanas"
"Unable to save Billing Agreement:","Não foi possível salvar acordo de pagamento:"
"Unit for billing during the subscription period.","Unidade para cobrança durante o período de assinatura."
"Unsupported currency code: %s.","Código de moeda não permitido: %s."
"Week","Semana"
"What is this?","O que é isto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Se suspender o perfil de pagamento por faltar taxa inicial ou adicioná-lo ao saldo pendente."
"Wrong %s specified.","%s especificado incorreto."
"Wrong or empty billing amount specified.","Quantia da cobrança especificada incorreta ou vazia."
"Year","Ano"
"Zero Subtotal Checkout","Finalização de compra de subtotal zero"
