"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(ns)"
"Assign product link","Atribuir link do produto"
"Assign product to category","Atribuir produto à categoria"
"Assigned Products","Produtos atribuídos"
"Associated Products","Produtos associados"
"Attrib. Set Name","Nome do grupo de atributos"
"Attribute ""%s"" is invalid.","Atributo ""%s"" é inválido."
"Attribute ""%s"" is required.","Atributo ""%s"" é obrigatório."
"Attribute Information","Informações do atributo"
"Attribute Model","Modelo do atributo"
"Attribute Name:","Nome do atributo:"
"Attribute Set","Grupo de atributos"
"Attribute group with the \"/name/\" name already exists","Já existe grupo de atributos com nome \"/name/\""
"Attribute with the same code already exists","Já existe atributo com o mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes do atributo pode ser especificado por loja."
"Autogenerate","Geração automática"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backend Model","Modelo do backend"
"Backend Table","Tabela do backend"
"Backend Table Title","Título da tabela do backend"
"Backorders","Pedido pendente"
"Based On","Baseado em"
"Best Value","Melhor preço"
"Block after Info Column","Bloquear depois da coluna de informações"
"Bottom Block Options Wrapper","Opções de wrapper do bloco inferior"
"Bottom/Left","Inferior/Esquerda"
"Bottom/Right","Inferior/Direita"
"Browse By","Pesquisa por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. impostos) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Tempo de vida da cache (segundos)"
"Cache refresh needed.","É necessário atualizar a cache."
"Can be used only with catalog input type Dropdown","Pode ser usado somente com tipo de entrada de catálogo dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado somente com tipo de entrada de catálogo dropdown, seleção múltipla e preço"
"Cannot create image.","Não foi possível criar a imagem."
"Cannot create writeable directory '%s'.","Não foi possível criar diretório com permissão de escrita '%s'."
"Cart Item Attribute","Atributo do item do carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Catálogo de categoria (âncora)"
"Catalog Category (Non-Anchor)","Catálogo de categoria (não-âncora)"
"Catalog Category (Without Subcategories)","Catálogo de categoria (sem subcategorias)"
"Catalog Category Link","Link do catálogo de categoria"
"Catalog New Products List","Lista de produtos do catálogo novo"
"Catalog Price Scope","Escopo de preço do catálogo"
"Catalog Product Compare List","Lista de comparação do catálogo do produto"
"Catalog Product Email to a Friend","Enviar catálogo do produto para um amigo"
"Catalog Product Image Gallery Popup","Galeria de imagem pop-up do catálogo do produto"
"Catalog Product Link","Link do catálogo do produto"
"Catalog Product View (Any)","Visualização do catálogo do produto (qualquer)"
"Catalog Product View (Configurable)","Visualização do catálogo do produto (configurável)"
"Catalog Product View (Grouped)","Visualização do catálogo do produto (agrupado)"
"Catalog Product View (Simple)","Visualização do catálogo do produto (simples)"
"Catalog Product View (Virtual)","Visualização do catálogo do produto (virtual)"
"Catalog Section","Seção do catálogo"
"Catalog Seo Popular Search Terms","Termos populares de busca para catálogo SEO"
"Catalog Seo Sitemap (Category List)","Mapa do site para catálogo SEO (lista de categoria)"
"Catalog Seo Sitemap (Category Tree)","Mapa do site para catálogo SEO (árvore de categoria)"
"Catalog Seo Sitemap (Common)","Mapa do site para catálogo SEO (comum)"
"Catalog Seo Sitemap (Product List)","Mapa do site para catálogo SEO (lista de produtos)"
"Catalog URL Rewrites","Catálogo de URL rewrites"
"Catalog, Search","Catálogo, busca"
"Categories","Categorias"
"Categories Sitemap","Categorias do mapa do site"
"Category","Categoria"
"Category API","API da categoria"
"Category Data","Dados da categoria"
"Category Flat Data","Dados da categoria flat"
"Category Link Block Template","Block template para link de categoria"
"Category Link Inline Template","Inline template para link de categoria"
"Category Products","Produtos da categoria"
"Category Top Navigation","Categoria mais navegados"
"Category URL Suffix","Categoria sufixo do URL"
"Category attributes API","API da categoria atributos"
"Category move error","Erro em mover a categoria"
"Category move operation is not possible: the new parent category was not found.","Não é possível mover categoria: a nova categoria pai não foi encontrada."
"Category must be an instance of Mage_Catalog_Model_Category.","Categoria deve ser uma instância de Mage_Catalog_Model_Category."
"Center","Centro"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou obter atributo de visão da loja"
"Change status","Alterar status"
"Check items to add to the cart or","Selecione itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
"Clear All","Remover todos"
"Close Window","Fechar janela"
"Collapse All","Fechar tudo"
"Comma-separated.","Separado por vírgulas."
"Comparable","Comparável"
"Comparable on Front-end","Comparável no frontend"
"Comparable on the Frontend","Comparável no frontend"
"Compare","Comparar"
"Compare Products","Comparar produtos"
"Conditions Combination","Condições de combinação"
"Configurable Product","Produto configurável"
"Configurable Product Settings","Configurações de produto configurável"
"Continue","Continuar"
"Copy From Configurable","Copiar do configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (upload)"
"Create Empty","Criar vazio"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para URL antigo"
"Create Permanent Redirect for old URLs if Url key changed","Criar redirecionamento permanente para URLs antigos se mudar a chave do URL"
"Create Product Settings","Criar configurações de produto"
"Create Simple Associated Product","Criar produto de associação simples"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas cruzadas"
"Currently Shopping By","Atualmente comprando de"
"Custom Design","Design personalizado"
"Custom Options","Opções personalizadas"
"Customer Group","Grupo de clientes"
"Customers Reviews","Opiniões de clientes"
"Customers Tagged Product","Produto tagged por clientes"
"Customers for alert %s were successfuly added to queue","Cliente para o alerta %s foi adicionado a fila com sucesso"
"Data Type for Saving in Database","Tipo de dado para salvar no banco de dados"
"Date & Time Custom Options","Opções personalizadas de data e hora"
"Date Fields Order","Ordem dos campos de data"
"Date Subscribed","Data de assinatura"
"Datetime","Data e hora"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar valor do atributo salvando escopo"
"Default Price","Preço padrão"
"Default Qty","Quantidade padrão"
"Default Values","Valores padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o escopo da moeda padrão (""configuração de moeda"" > ""opções de moeda"" > ""moeda padrão"")."
"Delete","Excluir"
"Delete Attribute","Excluir atributo"
"Delete Attribute Set","Excluir grupo de atributos"
"Delete Category","Excluir categoria"
"Delete Option","Excluir opção"
"Delete Row","Excluir linha"
"Delete Search","Excluir busca"
"Delete Selected Group","Excluir grupos selecionados"
"Delete category","Excluir categoria"
"Delete product","Excluir produto"
"Depends on design theme","Depende do tema do design"
"Design","Design"
"Details","Detalhes"
"Disabled","Desabilitado"
"Disallowed file type.","Tipo de arquivo desabilitado."
"Display in Suggested Terms","Mostrar nos termos sugeridos"
"Double click on a group to rename it","Duplo clique em um grupo para renomeá-lo"
"Double click on above image to view full picture","Duplo clique na imagem para vê-la ampliada"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar website, preço diferenciado, grupo de usuários e quantidade."
"Duplicate website, country and state tax found.","Duplicar website, país e imposto do estado."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Análise de diretriz dinâmica impacta no desempenho do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar grupo de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo do produto ""%s"""
"Edit Search","Editar busca"
"Edit Search '%s'","Editar busca '%s'"
"Edit Set Name","Editar grupo de nomes"
"Email","E-mail"
"Email to %s was not sent.","E-mail para %s não foi enviado."
"Email to a Friend","Enviar para um amigo"
"Empty","Vazio"
"Enable Qty Increments","Habilitar quantidade de incremento"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Erro durante a recuperação da opção de valor: %s"
"Exclude","Ocultar"
"Expand All","Expandir todos"
"Failed","Falhou"
"Failed to move file: %s","Falha ao mover o arquivo: %s"
"Feature Products","Produtos em destaque"
"Field is not complete","Campo não está completo"
"File options format is not valid.","Opções de formato do arquivo não é válido."
"File upload failed","Falha ao carregar arquivo"
"Filter model name must be declared.","Nome do modelo de filtro deve ser declarado."
"Filter must be an object. Please set correct filter.","Filtro deve ser um objeto. Por favor, selecione um filtro correto."
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Filtrável (com resultados)"
"First Name","Nome"
"Fixed","Arrumado"
"For internal use.","Para uso interno."
"Frontend","Frontend"
"Frontend Model","Modelo de frontend"
"Frontend Properties","Propriedades de frontend"
"Gallery","Galeria"
"General Information","Informações gerais"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Editável globalmente"
"Go to Home Page","Ir para página principal"
"Grid","Grade"
"Grouped Product","Produtos agrupados"
"Groups","Grupos"
"Home","Principal"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Product Name will be used","Se vazio, o nome do produto será utilizado"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar uma opção de valor para uma visão de loja específica, então o valor padrão (Admin) será usado."
"Image","Imagem"
"Image does not exist.","Imagem não existe."
"Image file was not found.","Arquivo da imagem não foi encontrado."
"Image type and information need to be specified for each store view.","Tipo de imagem e informações precisam ser especificada para cada visão de loja."
"In Stock","Em estoque"
"In stock","Em estoque"
"Incl. Tax","Incl. imposto"
"Index product and categories URL rewrites","Índice do produto e URL rewrites de categorias"
"Index product attributes for layered navigation building","Índice dos atributos de produto para construir navegação por camadas"
"Index product prices","Índice dos preços de produtos"
"Indexed category/products association","Incluindo o índice da associação categoria/produtos"
"Info Column Options Wrapper","Opções de wrapper da coluna de informações"
"Input Type","Tipo de entrada"
"Integer","Inteiro"
"Invalid Tier Prices","Preços diferenciados inválidos"
"Invalid attribute %s.","Atributo inválido %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção inválida de atributo especificado para o atributo %s (%s), parando registro."
"Invalid attribute set specified, skipping the record.","Grupo inválido de atributos especificado, parando registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","IDs inválidos de categoria."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo inválido de arquivo de imagem."
"Invalid image type.","Tipo inválido de imagem."
"Invalid option ID specified for %s (%s), skipping the record.","Opção inválida de ID está especificado para %s (%s), parando registro."
"Invalid product type specified, skipping the record.","Tipo de produto especificado inválido, parando registro."
"Invalid store specified","Loja especificada inválida"
"Invalid store specified, skipping the record.","Loja especificada inválida, parando registro."
"Invalid tier prices. The product is not associated to the requested website.","Preços diferenciados inválidos. O produto não está associado ao website solicitado."
"Invalid transactional email code.","Código inválido de e-mail transacional."
"Inventory","Inventário"
"Is Default","É padrão"
"Is Required","É necessário"
"Items %s to %s of %s total","Itens %s para %s de %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer exibir no catálogo ou nos resultados de busca devem ter status 'Desabilitado' na loja desejada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer exibir no catálogo ou nos resultados de busca devem ter status 'Desabilitado' na loja desejada."
"Keep your eyes open for our special Back to School items and save A LOT!","Mantenha seus olhos abertos para nossos produtos especiais de volta as aulas e economize MUITO!"
"Label","Rótulo"
"Last Name","Sobrenome"
"Last Notification","Última notificação"
"Learn More","Saiba mais"
"Line %d, Email: %s","Linha %d, e-mail: %s"
"Line %d, SKU: %s","Linha %d, Código do produto: %s"
"Link (Related, Up sell, Cross sell)","Link (relacionado, venda agregada, vendas cruzada)"
"Link product does not exist.","Link do produto não existe."
"Link to a Specified Category","Link para uma categoria especificada"
"Link to a Specified Product","Link para um produto especificado"
"List","Lista"
"List Mode","Modo de listagem"
"List of Products that are set as New","Lista de produtos que estão definidos como novo"
"Manage Attribute Sets","Gerenciar grupo de atributos"
"Manage Attributes","Gerenciar atributos"
"Manage Catalog Categories","Gerenciar categorias do catálogo"
"Manage Categories","Gerenciar categorias"
"Manage Label / Options","Gerenciar rótulo / opções"
"Manage Options (values of your attribute)","Gerenciar opções (valores de seu atributo)"
"Manage Product Attributes","Gerenciar atributos do produto"
"Manage Product Sets","Gerenciar grupos de produtos"
"Manage Products","Gerenciar produtos"
"Manage Stock","Gerenciar estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar (tamanho, cor, etc.)"
"Max Characters","Caracteres máximo"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamanho máximo da imagem"
"Maximum Qty Allowed in Shopping Cart","Quantidade máxima permitida no carrinho de compras"
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Media Image","Imagem de media"
"Minimum Lines per Page","Mínimo de linhas por página"
"Minimum Qty Allowed in Shopping Cart","Quantidade mínima permitida no carrinho de compras"
"Minimum Qty for Item\'s Status to be Out of Stock","Quantidade mínima de itens para o status ser esgotado"
"Missing SKU, skipping the record.","Código do produto perdido, parando registro."
"More Views","Mais visualizações"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Must be in the allowed values list.","Deve estar na lista de valores permitidos."
"Name","Nome"
"Name in %s","Nome no %s"
"New Category","Nova categoria"
"New Product","Novo produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos produtos"
"New Products Grid Template","Grid template para novos produtos"
"New Products List Template","List template para novos produtos"
"New Search","Nova busca"
"New Set Name","Novo grupo de nomes"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Sem atualizações no layout"
"No layout updates.","Sem atualizações no layout."
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"No product collections found.","Nenhuma coleção de produtos foi encontrada."
"None","Nada"
"Not Visible Individually","Não visível individualmente"
"Notify Low Stock RSS","Notificação de estoque baixo em RSS"
"Notify for Quantity Below","Notifique para quantidade baixa"
"Number of Products to Display","Número de produtos para exibir"
"Number of Uses","Número de usos"
"Number of results<br/>(For the last time placed)","Número de resultados<br/>(Pela última vez confirmado)"
"OR","OU"
"Old Price:","Preço antigo"
"Option validation failed to add product to cart.","Validação da opção falhou ao adicionar produto ao carrinho."
"Option:","Opção:"
"Options Control","Opções de controle"
"Options is required","Opções são obrigatórias"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nosso serviço de atendimento está disponível 24 horas. Ligue-nos pelo número (555) 555-0123."
"Out of Stock","Esgotado"
"Out of stock","Esgotado"
"PM","PM"
"Page Title Separator","Separador de título da página"
"Parent Category","Categoria pai"
"Pending","Pendente"
"Pending Reviews RSS","Opiniões pendentes RSS"
"Percentage","Porcentagem"
"Please add rows to option.","Por favor, adicione linhas a opção."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenha cuidado por favor, ao clicar sobre a linha será carregado o pacote de dados do arquivo selecionado e todos os dados do formulário não salvos serão perdidos."
"Please click on the Close Window button if it is not closed automatically.","Por favor, clique no botão de fechar janela se ela não fechar automaticamente."
"Please enter a new group name","Por favor, insira um novo nome para o grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Por favor, atualize ""catálogo de URL rewrites"" e ""atributos do produto"" no sistema -> <a href=""%s"">gerenciador de índices</a>"
"Please select a static block ...","Por favor, selecione um bloco estático ..."
"Please select items.","Por favor, selecione itens."
"Please select one or more attributes.","Por favor, selecione um ou mais atributos."
"Please select product(s).","Por favor, selecione o(s) produto(s)."
"Please select products for attributes update","Por favor, selecione produtos para atualizações de atributos"
"Please specify date required option(s).","Por favor, especifique opções obrigatórias de data."
"Please specify the product required option(s)","Por favor, especifique as opções obrigatórias do produto"
"Please specify the product required option(s).","Por favor, especifique as opções obrigatórias do produto."
"Please specify the product\'s option(s).","Por favor, especifique as opções do produto."
"Please specify the product\'s required option(s).","Por favor, especifique as opções obrigatórias do produto."
"Please specify the quantity of product(s).","Por favor, especifique a quantidade do(s) produto(s)."
"Please specify time required option(s).","Por favor, especifique opções obrigatórias de hora."
"Position","Posição"
"Position in Layered Navigation","Posição na navegação por camadas"
"Position of attribute in layered navigation block","Posição do atributo no bloco de navegação por camadas"
"Prev","Ant"
"Previous","Anterior"
"Price","Preço"
"Price Type","Tipo de preço"
"Price is not available","Preço não disponível"
"Price values for options should be specified in system base currency.","Valores de preço para opções devem ser especificados na moeda base do sistema"
"Price:","Preço:"
"Print This Page","Imprimir esta página"
"Product","Produto"
"Product API","API do produto"
"Product Alerts","Alertas de produto"
"Product Attribute","Atributo do produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categorias do produto"
"Product Description","Descrição do produto"
"Product Flat Data","Dados do produto flat"
"Product Image Placeholders","Placeholders da imagem do produto"
"Product Image Watermarks","Marca d'água da imagem do produto"
"Product Images","Imagens do produto"
"Product Images API","API das imagens do produto"
"Product In Websites","Produto nos websites"
"Product Info Column","Coluna de informações do produto"
"Product Information","Informações do produto"
"Product Link Block Template","Block template para link de produto"
"Product Link Inline Template","Inline template para link de produto"
"Product Listing Sort by","Tipo de listagem de produto por"
"Product Name","Nome do produto"
"Product Prices","Preços do produto"
"Product Reviews","Opiniões do produto"
"Product Tags","Tags do produto"
"Product Tier Price API","API do preço diferenciado do produto"
"Product Type","Tipo do produto"
"Product URL Suffix","Sufixo do URL do produto"
"Product View Extra Hint","Dica extra na visualização do produto"
"Product attribute sets API","API do grupo de atributos do produto"
"Product attributes API","API dos atributos do produto"
"Product collection expected.","Coleção de produto esperada."
"Product links API (related, cross sells, up sells)","API dos links do produto (relacionados, vendas agregadas, vendas cruzadas)"
"Product types API","API dos tipos de produtos"
"Product with this combination of attributes already associated to configurable.","Produtos com esta combinação de atributos já associado a configurável."
"Products","Produtos"
"Products Comparison List","Lista de comparação de produtos"
"Products Information","Informações dos produtos"
"Products Reviews","Opiniões de produtos"
"Products Sitemap","Mapa dos produtos"
"Products only","Apenas produtos"
"Products per Page on Grid Allowed Values","Produtos por página nas quantidades permitidas pela grade"
"Products per Page on Grid Default Value","Produtos por página na quantidade padrão da grade"
"Products per Page on List Allowed Values","Produtos por página nas quantidades permitidas pela lista"
"Products per Page on List Default Value","Produtos por página na quantidade padrão da lista"
"Properties","Propriedades"
"Qty","Qtde"
"Qty Increments","Quantidade de incremento"
"Qty Uses Decimals","Quantidade usa decimais"
"Qty for Item\'s Status to become Out of Stock","Quantidade para o status do item tornar-se esgotado"
"Qty:","Qtde:"
"Quantity","Quantidade"
"Quick Create","Criação rápida"
"Quick Overview","Descrição rápida"
"Quick simple product creation","Criação rápida de um produto simples"
"Records for ""","Registros para """
"Redirect","Redirecionar"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Preço normal:"
"Related Products","Produtos relacionados"
"Remove","Remover"
"Remove Product From Websites","Remover produto dos websites"
"Remove This Item","Remover este item"
"Remove product assignment","Remover designação do produto"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Reorganize EAV category structure to flat structure","Reorganizar estrutura de categoria EAV para estrutura flat"
"Reorganize EAV product structure to flat structure","Reorganizar estrutura de produto EAV para estrutura flat"
"Reset","Redefinir"
"Results","Resultados"
"Retrieve attribute data","Obter dados de atributo"
"Retrieve attribute list","Obter lista de atributos"
"Retrieve attribute options","Obter opções de atributos"
"Retrieve categories tree","Obter árvore de categorias"
"Retrieve category attributes","Obter atributos da categoria"
"Retrieve category data","Obter dados da categoria"
"Retrieve hierarchical tree","Obter árvore hierarquica"
"Retrieve linked products","Obter produtos com links"
"Retrieve list of assigned products","Obter lista de produtos atribuídos"
"Retrieve one level of categories by website/store view/parent category","Obter um nível de categoria por website/loja visão/categoria pai"
"Retrieve product","Obter produto"
"Retrieve product attribute sets","Obter grupo de atributos do produtos"
"Retrieve product image","Obter imagem de produto"
"Retrieve product image list","Obter lista de imagens de produtos"
"Retrieve product image types","Obter tipos de imagem do produto"
"Retrieve product link type attributes","Obter atributos do tipo de link do produto"
"Retrieve product link types","Obter tipos do link do produto"
"Retrieve product tier prices","Obter preço diferenciado do produto"
"Retrieve product types","Obter tipos do produto"
"Retrieve products data","Obter dados dos produtos"
"Retrieve products list by filters","Obter lista de produtos através de filtros"
"Reviews","Opiniões"
"Roll Over for preview","Passe o mouse para uma pré-visualização"
"Root","Raiz"
"SKU","Código do produto"
"Save","Salvar"
"Save Attribute","Salvar atributo"
"Save Attribute Set","Salvar grupo de atributo"
"Save Category","Salvar categoria"
"Save Search","Salvar busca"
"Save and Continue Edit","Salvar e continuar editando"
"Saved %d record(s)","%d registro(s) salvo(s)"
"Scope","Escopo"
"Search","Buscar"
"Search Engine Optimizations","Otimização do mecanismo de busca"
"Search Information","Informações de busca"
"Search Query","Query de busca"
"Search Term with such search query already exists.","Termo de busca com esta query já existe."
"Searchable","Buscável"
"Select Category...","Selecionar categoria..."
"Select Configurable Attributes ","Selecionar atributos configuráveis "
"Select Product...","Selecionar produtos..."
"Select type of option","Selecionar tipo de opção"
"Select type options required values rows.","Selecionar tipos de opções para linhas de valores obrigatórios."
"Selected Product Types","Tipos de produtos selecionados"
"Selected configuration is not available.","Configuração selecionada não está disponível."
"Send Count","Enviar conta"
"Set Ascending Direction","Definir direção dscendente"
"Set Descending Direction","Definir direção descendente"
"Set Name","Definir nome"
"Set Root Category for Store","Definir categoria raiz para a loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Definir categoria raiz para esta loja em <a href=""%s"">configuração</a>"
"Set special price","Definir preço especial"
"Set/Get current store view","Definir/Obter visão atual da loja"
"Settings","Configurações"
"Shop By","Procurar por"
"Shopping Options","Opções de busca"
"Show","Mostrar"
"Show Details","Mostrar detalhes"
"Show Tags","Mostrar tags"
"Simple Product","Produto simples"
"Site Map","Mapa do site"
"Sitemap","Mapa do site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Parando importação da linha, o valor ""%s"" não é válido para o campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Parando importação da linha, campo obrigatório ""%s"" para novo cliente não está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Parando importação da linha, o valor ""%s"" é inválido para o campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Parando importação da linha, campo obrigatório ""%s"" para novos produtos não está definido."
"Skipping import row, required field ""%s"" is not defined.","Parando importação da linha, campo obrigatório ""%s"" não está definido."
"Skipping import row, store ""%s"" field does not exist.","Parando importação da linha, campo ""%s"" da loja não existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Parando importação da linha, o valor ""%s"" não é válido para o campo ""%s""."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Alguns dos produtos abaixo não contém todas as opções requeridas. Por favor, remova-os e adicione novamente com todas as opções requeridas."
"Sort By","Ordenar por"
"Sort Order","Ordem de seleção"
"Source Model","Modelo fonte"
"Special Price:","Preço especial:"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas bloco estático"
"Status","Status"
"Stock Availability","Disponibilidade de estoque"
"Store","Loja"
"Store View","Visão da loja"
"Stretch","Esticar"
"Subscribe to RSS Feed","Assinar RSS Feed"
"Super product attributes configuration","Configuração de atributos de super produtos"
"Synonym For","Sinônimo para"
"System Properties","Propriedades do sistema"
"Tag Name","Nome da tag"
"Tax","Imposto"
"Template","Template"
"Text","Texto"
