"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existem."
"-- Please Select --","-- Por favor, selecione --"
"Copyright","Direitos autorais"
"Countries Options","Opções dos países"
"Create Store","Criar loja"
"Create Store View","Criar visão da loja"
"Create Website","Criar website"
"Credit card number does not match credit card type","Número do cartão de crédito não corresponde ao tipo do cartão de crédito"
"Current Package Name","Nome do pacote atual"
"Custom Admin URL","URL da administração personalizada"
"Custom Design","Design personalizado"
"Custom Email 1","E-mail Personalizado 1"
"Custom Email 2","E-mail Personalizado 2"
"Custom Variables","Variáveis personalizadas"
"Customer Support","Suporte ao cliente"
"Date From","Data de"
"Date To","Data para"
"Date/time format ""%s"" is not supported.","Formato de data/hora ""%s"" não é suportado."
"Debug","Debug"
"Default","Padrão"
"Default Country","Variáveis personalizadas"
"Default Description","Descrição padrão"
"Default Keywords","Palavras-chave padrões"
"Default No-route URL","URL no-route padrão"
"Default Pages","Páginas padrões"
"Default Robots","Robôs padrões"
"Default Store","Loja padrão"
"Default Store View","Visão padrão da loja"
"Default Title","Título padrão"
"Default Web URL","URL web padrão"
"Delete","Excluir"
"Delete Store","Excluir loja"
"Delete Store View","Excluir visão da loja"
"Delete Website","Excluir website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluir um %1$s não excluirá as informações associadas com o %1$s (ex: categorias, produtos, etc.), mas o %1$s não poderá de ser restaurardo. É recomendado você criar um backup do banco de dados antes de excluir o %1$s."
"Design","Design"
"Design Change","Alteração de design"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Restrições do cliente desenvolvedor"
"Disable Email Communications","Desabilitar comunicações por e-mail"
"Disable Modules Output","Desabilitar saída dos módulos"
"Display Demo Store Notice","Mostrar aviso Loja de Demonstração"
"Duplicate Of Template Name","Duplicação de nome do template"
"Edit Design Change","Editar alteração de design"
"Edit Store","Editar loja"
"Edit Store View","Editar visão da loja"
"Edit Website","Editar website"
"Empty identifier field name","Nome do campo do identificador vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enable Prototype Deprecation Log","Habilitar log do protótipo de depreciação"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para admin"
"Enabled for Frontend","Habilitado para frontend"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"Error: Passwords do not match","Erro: senhas não conferem"
"Exceptions Log File Name","Nome do log de exceções"
"First Day of Week","Primeiro dia da semana"
"Flush Cache Storage","Atualizar armazenamento de cache"
"Flush Magento Cache","Atualizar cache do magento"
"Footer","Rodapé"
"Forgot Password Email Sender","Esqueceu rementente do e-mail de senha"
"Forgot Password Email Template","Esqueceu template do e-mail de senha"
"General","Geral"
"General Contact","Contato geral"
"General Settings","Configurações gerais"
"Global","Global"
"HTML Head","HTML Head"
"Header","Cabeçalho"
"Host","Servidor"
"How many links to display at once.","Quantos links mostrar de uma vez."
"ID Path for Specified Store","Caminho do ID para loja especificada"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição do frame corrente não cobrir o superior das párinas, fará um link para a posição corrente mais/menos esse valor."
"Incorrect credit card expiration date","Data de vencimento do cartão de crédito incorreta"
"Invalid base url type","Tipo inválido de URL base"
"Invalid block name to set child %s: %s","Nome inválido de bloco para definir filho %s: %s"
"Invalid block type: %s","Tipo inválido do bloco: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid layout update handle","Layout update handle inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensagens de armazenamento ""%s"" inválido para inicialização de mensagens de layout"
"Invalid transactional email code: ","Código inválido de e-mail transacional: "
"Invalid website\'s configuration path: %s","Caminho inválido de configuração de websites: %s"
"JavaScript Settings","Configurações do JavaScript"
"Layout","Layout"
"Leave empty for access from any location.","Deixar em branco para acessar de qualquer lugar."
"Locale","Localidade"
"Locale Options","Opções de localidade"
"Log Settings","Configuração de log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging de Mage::log(). Arquivo está localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging de Mage::logException(). Arquivo está localizado em {{base_dir}}/var/log"
"Login is Case Sensitive","Usuário diferencia letras maiúsculas e minúsculas"
"Logo Image Alt","Imagem do logo do Alt"
"Logo Image Src","Imagem do logo do Src"
"Mail Sending Settings","Configurações para enviar e-mail"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Tenha certeza que o URL base termina com '/' (barra), ex: http://yourdomain/magento/"
"Manage Stores","Gerenciar lojas"
"Match expressions in the same order as displayed in the configuration.","Combinar expressões na mesma ordem exibida em configuração."
"Maximum length exceeded.","Comprimento máximo excedido."
"Merge CSS Files (beta)","Unir arquivos CSS (beta)"
"Merge JavaScript Files","Unir arquivos JavaScript"
"Miscellaneous HTML","HTML variados"
"Miscellaneous Scripts","Scripts variados"
"Model class does not exist: %s.","Classe modelo não existe: %s."
"Model collection resource name is not defined.","Nome do recurso de coleção de modelo não está definido."
"Module ""%1$s"" cannot depend on ""%2$s"".","Módulo ""%1$s"" não pode depender de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Módulo ""%1$s"" requer módulo ""%2$s""."
"Name","Nome"
"New Design Change","Nova alteração de design"
"New Store","Nova loja"
"New Store View","Nova visão de loja"
"New Website","Novo website"
"No","Não"
"Package","Pacotes"
"Pagination","Paginação"
"Pagination Frame","Frame de paginação"
"Pagination Frame Skip","Pular frame de paginação"
"Please choose to register or to checkout as a guest","Por favor, escolha registrar ou finalizar como visitante."
"Please define flag code.","Por favor, defina o código da bandeira"
"Please enter 6 or more characters.","Por favor, insira 6 ou mais caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor, insira 6 ou mais caracteres. Espaços antes ou depois serão ignorados."
"Please enter a number greater than 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, insira uma quantia R$ válida. Por exemplo R$ 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, insira um URL válido. Por exemplo http://www.exemplo.com.br ou www.exemplo.com.br"
"Please enter a valid URL. http:// is required","Por favor, insira um URL válido. http:// é obrigatório"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid credit card verification number.","Por favor, insira um código de segurança do cartão de crédito válido."
"Please enter a valid date.","Por favor, insira uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, insira um endereço de e-mail válido. Por exemplo joao@dominio.com.br"
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (12) 3456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, insira um número de seguro social válido. Por exemplo 123-45-6789."
"Please enter a valid zip code.","Por favor, insira um CEP válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, insira um CEP válido. Por exemplo 90999002."
"Please enter valid password.","Por favor, insira uma senha válida."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Por favor, insira um CSS-length válido. Por exemplo 100px ou 77pt ou 20em ou .5ex ou 50%"
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please select State/Province.","Por favor, selecione estado."
"Please select an option.","Por favor, selecione uma opção."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please specify either a category or a product, or both.","Por favor, especifique categoria ou produto, ou ambos."
"Please specify payment method.","Por favor, especifique o método de pagamento"
"Please specify shipping method.","Por favor, especifique o método de envio"
"Please use letters only (a-z or A-Z) in this field.","Por favor, use somente letras (a-z ou A-Z) neste campo"
"Please use letters only (a-z) in this field.","Por favor, use somente letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use somente números neste campo. Evite espaços ou caracteres como pontos ou vírgulas."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou sublinhados (_) neste campo, e o primeiro caractere deve ser uma letra."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z) ou números (0-9) neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z), números (0-9) ou espaços e # neste campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use somente letras (a-z), números (0-9) ou underscore(_) neste campo e o primeiro caractere deve ser uma letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Polls","Pesquisas"
"Port (25)","Porta (25)"
"Profiler","Profiler"
"Redirect to Base URL if requested URL doesn't match it","Redirecionar para o URL base se o URL solicitado não for encontrado"
"Request Path for Specified Store","Caminho de solicitação para loja especificada"
"Requested invalid store ""%s""","Loja ""%s"" solicitada inválida"
"Resource is not set.","Recurso não está definido."
"Return-Path Email","E-mail caminho-retorno"
"Root Category","Categoria raiz"
"Sales Representative","Representante de vendas"
"Save","Salvar"
"Save Store","Salvar loja"
"Save Store View","Salvar visão da loja"
"Save Website","Salvar website"
"Search Engines Optimization","Otimização do mecanismo de busca"
"Secure","Seguro"
"Security","Segurança"
"Select Date","Selecionar data"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Services","Serviços"
"Session Cookie Management","Gerenciador de cookie de sessão"
"Session Lifetime (seconds)","Tempo de vida da sessão (segundos)"
"Session Validation Settings","Configuração de validação de sessão"
"Set Return-Path","Definir caminho-retorno"
"Set as Default","Definir como padrão"
"Skin (Images / CSS)","Skin (imagens / CSS)"
"Sort Order","Ordem de seleção"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora especificado ""%1$s"" diferente do formato ""%2$s""."
"Start date cannot be greater than end date.","Data de início não pode ser depois que a data de fim."
"Startup Page","Página inicial"
"Status","Status"
"Store","Loja"
"Store Contact Address","Endereço de contato da loja"
"Store Contact Information","Informações de contato da loja"
"Store Contact Telephone","Telefone de contato da loja"
"Store Email Addresses","Endereços de e-mail da loja"
"Store Information","Informações da loja"
"Store Name","Nome da loja"
"Store View","Visão da loja"
"Store View Information","Informações da visão da loja"
"Store View Name","Nome da visão da loja"
"Store view doesn't exist","Visão da loja não existe"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do arquivo de log do sistema"
"Template Path Hints","Dicas de caminho de template"
"Template Variables","Template de variáveis"
"Templates","Templates"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você inseriu é inválido. Por favor, tenha certeza que isto segue o formato ""http://dominio.com.br/""."
"The model collection resource name is not defined.","O nome do recurso de coleção de modelo não está definido."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código da loja deve conter somente letras (a-z), números (0-9) ou sublinhados (_), e o primeiro caractere deve ser uma letra"
"The store does not exist","A loja não existe."
"The store has been deleted.","A loja foi excluída."
"The store has been saved.","A loja foi salva."
"The store view has been deleted.","A visão da loja foi excluída."
"The store view has been saved","A visão da loja foi salva."
"The template Name must not be empty.","O nome do template não pode ser vazio."
"The website does not exist.","O website não existe."
"The website has been deleted.","O website foi excluído."
"The website has been saved.","O website foi salvo."
"Themes","Temas"
"This category and all its child elements","Esta categoria e todos seus elementos filhos"
"This category and its child categories only","Somente esta categoria e suas categorias filho"
"This category and its products only","Somente esta categoria e seus produtos"
"This category only","Somente esta categoria"
"This date is a required value.","Esta data é um valor obrigatório."
"This is a required field.","Este é um campo obrigatório."
"This store cannot be deleted.","Esta loja não pode ser excluída."
"This store view cannot be deleted.","Esta visão da loja não pode ser excluída."
"This website cannot be deleted.","Este website não pode ser excluído."
"This will be displayed just before body closing tag.","Isto será exibido antes do fechamento da body tag."
"This will be included before head closing tag in page HTML.","Isto será incluído antes do fechamento da head tag na página HTML."
"Timezone","Fuso horário"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Translate Inline","Traduzir inline"
"Translate cache should be disabled for both frontend and admin inline translations.","Cache de tradução deve ser desabilitado para a tradução inline do Frontend e da Admin"
"Translations","Traduções"
"Unable to delete store view. Please, try again later.","Não foi possível excluir visão da loja. Por favor, tente novamnte mais tarde."
"Unable to delete store. Please, try again later.","Não foi possível excluir loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível excluir website. Por favor, tente novamente mais tarde."
"Unable to proceed. Please, try again","Não foi possível continuar. Por favor, tente novamente."
"Unable to proceed. Please, try again.","Não foi possível continuar. Por favor, tente novamente."
"Unknown scope ""%s"".","Escopo desconhecido ""%s""."
"Unsecure","Inseguro"
"Url Options","Opções de URL"
"Use Custom Admin URL","Usar URL personalizado do admin"
"Use HTTP Only","Usar somente HTTP"
"Use SID on Frontend","Usar SID no frontend"
"Use Secure URLs in Admin","Usar URLs seguros em Admin"
"Use Secure URLs in Frontend","Usar URLs seguros em Frontend"
"Use Web Server Rewrites","Usar web server rewrites"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Validação falhou."
"Values less than 60 are ignored. Note that changes will apply after logout.","Valores menores que 60 são ignorados. Note que mudanças serão aplicadas depois de sair."
"Variable Code must be unique.","Código de variável deve ser único."
"Web","Web"
"Website","Website"
"Website Information","Informações do website"
"Website Name","Nome do website"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Código do website deve conter somente letras (a-z), números (0-9) ou sublinhados (_), e o primeiro caractere deve ser uma letra"
"Website with the same code","Website com o mesmo código"
"Weekend Days","Dias do final de semana"
"Welcome Text","Texto de boas-vindas"
"Wrong number of arguments for %s","Número incorreto de argumentos para %s"
"Yes","Sim"
"Your design change for the specified store intersects with another one, please specify another date range.","Sua alteração de design para a loja especificada tem conflito com outra loja, por favor, especifique outro intervalo de data."
"Your order cannot be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser finalizado no momento, pois não há métodos de pagamento disponíveis."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser finalizado no momento, pois não há métodos de envio disponíveis. Por favor, faça as alterações necessárias em seu endereço de envio."
"Your session has been expired, you will be relogged in now.","Sua sessão expirou, você será reconectado agora."
"Please specify the product's option(s).","Por favor, escolha a cor e o tamanho do seu produto."
