" Copy"," Copiar"
"Queue Finish","Término da fila"
"Queue Information","Informações da fila"
"Queue Newsletter...","Fila da newsletter..."
"Queue Start","Início da fila"
"Queue Subject","Assunto da fila"
"Recipients","Destinatários"
"Reset","Redefinir"
"Resume","Continuar"
"Return HTML Version","Retornar versão HTML"
"Save As","Salvar como"
"Save Newsletter","Salvar newsletter"
"Save Template","Salvar template"
"Save and Resume","Salvar e continuar"
"Selected problem subscribers have been unsubscribed.","Assinantes com problemas selecionados foram cancelados."
"Selected problems have been deleted.","Problemas selecionados foram excluídos."
"Sender","Remetente"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Informe o seu e-mail:"
"Sign up for our newsletter","Informe o seu e-mail"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Desculpe, o administrador negou assinatura para visitante. Por favor, <a href=""%s"">registre-se</a>."
"Sorry, but your can not subscribe email adress assigned to another user.","Desculpe, você não pode assinar com um endereço de e-mail já assinado por outro usuário."
"Start","Início"
"Status","Status"
"Store","Loja"
"Store View","Visão da loja"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Assinar"
"Subscribed","Assinado"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de assinatura"
"Success Email Sender","Remetente de e-mail de sucesso"
"Success Email Template","Template de e-mail de sucesso"
"Template Content","Conteúdo do template"
"Template Information","Informações do template"
"Template Name","Nome do template"
"Template Styles","Estilos de template"
"Template Subject","Assunto do template"
"Template Type","Tipo de template"
"Thank you for your subscription.","Obrigado pela sua assinatura."
"The subscription has been removed.","A assinatura foi excluída."
"The subscription has been saved.","A assinatura foi salva."
"There was a problem with the subscription.","Ocorreu um problema com a assinatura."
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento da assinatura."
"Type","Tipo"
"Unsubscribe","Cancelar assinatura"
"Unsubscribe Selected","Selecionado cancelar assinatura"
"Unsubscribed","Assinatura cancelada"
"Unsubscription Email Sender","Remetente do e-mail de cancelamento de assinatura"
"Unsubscription Email Template","Template de e-mail de cancelamento de assinatura"
"View Newsletter","Ver newsletter"
"Website","Website"
"You have been unsubscribed.","Sua assinatura foi cancelada."
"Your subscription has been confirmed.","Sua assinatura foi confirmada."
"This email address is already assigned to another user.","Esse email já encontra-se cadastrado."
